Type of text;Text size;Algorithm;Pattern size;Time(ns)
бинарный;10000;наивный;100;47958
бинарный;10000;КМП-обычный;100;1336236
бинарный;10000;КМП-оптимизированный;100;1335542
бинарный;100000;наивный;100;1345903
бинарный;100000;КМП-обычный;100;12804167
бинарный;100000;КМП-оптимизированный;100;12652819
бинарный;10000;наивный;200;161875
бинарный;10000;КМП-обычный;200;1296430
бинарный;10000;КМП-оптимизированный;200;1321194
бинарный;100000;наивный;200;3460750
бинарный;100000;КМП-обычный;200;13195569
бинарный;100000;КМП-оптимизированный;200;13320931
бинарный;10000;наивный;300;420611
бинарный;10000;КМП-обычный;300;1458389
бинарный;10000;КМП-оптимизированный;300;1366722
бинарный;100000;наивный;300;1083416
бинарный;100000;КМП-обычный;300;13295861
бинарный;100000;КМП-оптимизированный;300;13649180
бинарный;10000;наивный;400;707375
бинарный;10000;КМП-обычный;400;1461986
бинарный;10000;КМП-оптимизированный;400;1507027
бинарный;100000;наивный;400;3430958
бинарный;100000;КМП-обычный;400;17576791
бинарный;100000;КМП-оптимизированный;400;13056444
бинарный;10000;наивный;500;38333
бинарный;10000;КМП-обычный;500;1431583
бинарный;10000;КМП-оптимизированный;500;1517888
бинарный;100000;наивный;500;3512041
бинарный;100000;КМП-обычный;500;13279416
бинарный;100000;КМП-оптимизированный;500;14204819
бинарный;10000;наивный;600;85097
бинарный;10000;КМП-обычный;600;1432000
бинарный;10000;КМП-оптимизированный;600;1425750
бинарный;100000;наивный;600;8615527
бинарный;100000;КМП-обычный;600;15235570
бинарный;100000;КМП-оптимизированный;600;13177194
бинарный;10000;наивный;700;368611
бинарный;10000;КМП-обычный;700;1457569
бинарный;10000;КМП-оптимизированный;700;2721944
бинарный;100000;наивный;700;4497097
бинарный;100000;КМП-обычный;700;13384180
бинарный;100000;КМП-оптимизированный;700;13858819
бинарный;10000;наивный;800;241416
бинарный;10000;КМП-обычный;800;1474388
бинарный;10000;КМП-оптимизированный;800;1474111
бинарный;100000;наивный;800;6565902
бинарный;100000;КМП-обычный;800;13209874
бинарный;100000;КМП-оптимизированный;800;13140542
бинарный;10000;наивный;900;571805
бинарный;10000;КМП-обычный;900;1497222
бинарный;10000;КМП-оптимизированный;900;1496125
бинарный;100000;наивный;900;8267583
бинарный;100000;КМП-обычный;900;12873555
бинарный;100000;КМП-оптимизированный;900;14887389
бинарный;10000;наивный;1000;231875
бинарный;10000;КМП-обычный;1000;1466930
бинарный;10000;КМП-оптимизированный;1000;1573736
бинарный;100000;наивный;1000;7962208
бинарный;100000;КМП-обычный;1000;13347555
бинарный;100000;КМП-оптимизированный;1000;12966222
бинарный;10000;наивный;1100;446860
бинарный;10000;КМП-обычный;1100;1939097
бинарный;10000;КМП-оптимизированный;1100;1538250
бинарный;100000;наивный;1100;357736
бинарный;100000;КМП-обычный;1100;12919292
бинарный;100000;КМП-оптимизированный;1100;13249152
бинарный;10000;наивный;1200;403667
бинарный;10000;КМП-обычный;1200;1513778
бинарный;10000;КМП-оптимизированный;1200;1513847
бинарный;100000;наивный;1200;1789805
бинарный;100000;КМП-обычный;1200;12928819
бинарный;100000;КМП-оптимизированный;1200;12794194
бинарный;10000;наивный;1300;44166
бинарный;10000;КМП-обычный;1300;1519138
бинарный;10000;КМП-оптимизированный;1300;1522527
бинарный;100000;наивный;1300;7623361
бинарный;100000;КМП-обычный;1300;12809180
бинарный;100000;КМП-оптимизированный;1300;13474069
бинарный;10000;наивный;1400;439722
бинарный;10000;КМП-обычный;1400;1558319
бинарный;10000;КМП-оптимизированный;1400;1556708
бинарный;100000;наивный;1400;1588208
бинарный;100000;КМП-обычный;1400;12951958
бинарный;100000;КМП-оптимизированный;1400;12828250
бинарный;10000;наивный;1500;251389
бинарный;10000;КМП-обычный;1500;1586069
бинарный;10000;КМП-оптимизированный;1500;1579444
бинарный;100000;наивный;1500;3907403
бинарный;100000;КМП-обычный;1500;12825263
бинарный;100000;КМП-оптимизированный;1500;13478819
бинарный;10000;наивный;1600;607111
бинарный;10000;КМП-обычный;1600;1599416
бинарный;10000;КМП-оптимизированный;1600;1599069
бинарный;100000;наивный;1600;1997055
бинарный;100000;КМП-обычный;1600;13303722
бинарный;100000;КМП-оптимизированный;1600;12898486
бинарный;10000;наивный;1700;94583
бинарный;10000;КМП-обычный;1700;1630763
бинарный;10000;КМП-оптимизированный;1700;1619749
бинарный;100000;наивный;1700;359666
бинарный;100000;КМП-обычный;1700;13297514
бинарный;100000;КМП-оптимизированный;1700;12883611
бинарный;10000;наивный;1800;385361
бинарный;10000;КМП-обычный;1800;1653750
бинарный;10000;КМП-оптимизированный;1800;1640055
бинарный;100000;наивный;1800;1362764
бинарный;100000;КМП-обычный;1800;13117527
бинарный;100000;КМП-оптимизированный;1800;13045194
бинарный;10000;наивный;1900;336458
бинарный;10000;КМП-обычный;1900;1664152
бинарный;10000;КМП-оптимизированный;1900;1662819
бинарный;100000;наивный;1900;1556889
бинарный;100000;КМП-обычный;1900;12892916
бинарный;100000;КМП-оптимизированный;1900;12944111
бинарный;10000;наивный;2000;96138
бинарный;10000;КМП-обычный;2000;1681847
бинарный;10000;КМП-оптимизированный;2000;1683958
бинарный;100000;наивный;2000;1577180
бинарный;100000;КМП-обычный;2000;12913236
бинарный;100000;КМП-оптимизированный;2000;13357555
бинарный;10000;наивный;2100;317791
бинарный;10000;КМП-обычный;2100;1701944
бинарный;10000;КМП-оптимизированный;2100;1698389
бинарный;100000;наивный;2100;494569
бинарный;100000;КМП-обычный;2100;12956903
бинарный;100000;КМП-оптимизированный;2100;14509569
бинарный;10000;наивный;2200;473972
бинарный;10000;КМП-обычный;2200;1952347
бинарный;10000;КМП-оптимизированный;2200;1787764
бинарный;100000;наивный;2200;7844694
бинарный;100000;КМП-обычный;2200;13083000
бинарный;100000;КМП-оптимизированный;2200;12965000
бинарный;10000;наивный;2300;76986
бинарный;10000;КМП-обычный;2300;1707708
бинарный;10000;КМП-оптимизированный;2300;1710347
бинарный;100000;наивный;2300;7884944
бинарный;100000;КМП-обычный;2300;13003333
бинарный;100000;КМП-оптимизированный;2300;12999208
бинарный;10000;наивный;2400;723583
бинарный;10000;КМП-обычный;2400;1767430
бинарный;10000;КМП-оптимизированный;2400;1769917
бинарный;100000;наивный;2400;2192180
бинарный;100000;КМП-обычный;2400;12992944
бинарный;100000;КМП-оптимизированный;2400;13020569
бинарный;10000;наивный;2500;51750
бинарный;10000;КМП-обычный;2500;1557917
бинарный;10000;КМП-оптимизированный;2500;1554291
бинарный;100000;наивный;2500;7009556
бинарный;100000;КМП-обычный;2500;13091096
бинарный;100000;КМП-оптимизированный;2500;13042916
бинарный;10000;наивный;2600;612222
бинарный;10000;КМП-обычный;2600;1879152
бинарный;10000;КМП-оптимизированный;2600;1879944
бинарный;100000;наивный;2600;6748472
бинарный;100000;КМП-обычный;2600;13253041
бинарный;100000;КМП-оптимизированный;2600;13169833
бинарный;10000;наивный;2700;51361
бинарный;10000;КМП-обычный;2700;1554597
бинарный;10000;КМП-оптимизированный;2700;1554181
бинарный;100000;наивный;2700;2717416
бинарный;100000;КМП-обычный;2700;13110847
бинарный;100000;КМП-оптимизированный;2700;13169722
бинарный;10000;наивный;2800;29499
бинарный;10000;КМП-обычный;2800;1427958
бинарный;10000;КМП-оптимизированный;2800;1424278
бинарный;100000;наивный;2800;59958
бинарный;100000;КМП-обычный;2800;12959958
бинарный;100000;КМП-оптимизированный;2800;21525208
бинарный;10000;наивный;2900;131639
бинарный;10000;КМП-обычный;2900;1880666
бинарный;10000;КМП-оптимизированный;2900;1870458
бинарный;100000;наивный;2900;1661542
бинарный;100000;КМП-обычный;2900;13209138
бинарный;100000;КМП-оптимизированный;2900;13201041
бинарный;10000;наивный;3000;156444
бинарный;10000;КМП-обычный;3000;1901208
бинарный;10000;КМП-оптимизированный;3000;1899930
бинарный;100000;наивный;3000;2457250
бинарный;100000;КМП-обычный;3000;13267555
бинарный;100000;КМП-оптимизированный;3000;13241069
четырехсимвольный;15121;наивный;100;672027
четырехсимвольный;15121;КМП-обычный;100;1496028
четырехсимвольный;15121;КМП-оптимизированный;100;1490527
четырехсимвольный;100001;наивный;100;644444
четырехсимвольный;100001;КМП-обычный;100;10235916
четырехсимвольный;100001;КМП-оптимизированный;100;10280847
четырехсимвольный;15121;наивный;200;593833
четырехсимвольный;15121;КМП-обычный;200;1496069
четырехсимвольный;15121;КМП-оптимизированный;200;1499624
четырехсимвольный;100001;наивный;200;5157388
четырехсимвольный;100001;КМП-обычный;200;10265680
четырехсимвольный;100001;КМП-оптимизированный;200;10276513
четырехсимвольный;15121;наивный;300;458194
четырехсимвольный;15121;КМП-обычный;300;1514514
четырехсимвольный;15121;КМП-оптимизированный;300;1514541
четырехсимвольный;100001;наивный;300;5028347
четырехсимвольный;100001;КМП-обычный;300;10312902
четырехсимвольный;100001;КМП-оптимизированный;300;10282583
четырехсимвольный;15121;наивный;400;230611
четырехсимвольный;15121;КМП-обычный;400;1532611
